"SR_3M	SR_6M	SR_9M	SR_1Y	SR_2Y	SR_3Y	SR_4Y	SR_5Y	SR_6Y	SR_7Y	SR_8Y	SR_9Y	SR_10Y	SR_11Y	SR_12Y	SR_13Y	SR_14Y	SR_15Y	SR_16Y	SR_17Y	SR_18Y	SR_19Y	SR_20Y	SR_21Y	SR_22Y	SR_23Y	SR_24Y	SR_25Y	SR_26Y	SR_27Y	SR_28Y	SR_29Y	SR_30Y"
"2004-09-20	2.018240192479951	2.10735963785428	2.194903860126455	2.2807119297986476	2.604453507399096	2.894615715012238	3.1510838943219834	3.375889855882201	3.5720162074817634	3.7427321736133314	3.8912409299079993	4.020506932358695	4.133185077066721	4.231605615574122	4.317787976127983	4.3934681010518055	4.460130694761326	4.519041755722066	4.571279068218383	4.617759636769547	4.659263766282067	4.696455869290624	4.729902263639994	4.760086295893337	4.787421138135975	4.812260587909344	4.834908169360597	4.85562479750177	4.874635231583228	4.892133510363696	4.90828753247545	4.923242919356824	4.937126276187598"
"2004-09-21	2.0235241510866904	2.113843889845032	2.2023632578782326	2.2889545683881796	2.614428744555866	2.904955301039797	3.1611413644082766	3.3854024895251422	3.58091707219695	3.7510475105925085	3.8990355818601747	4.027856459664849	4.14016243352598	4.238275564051751	4.324205460185168	4.399678510689929	4.4661709313316855	4.524941536744648	4.577062204288243	4.623445167237625	4.664866919182131	4.701988848656104	4.735374883280057	4.765506483563909	4.7927953336367315	4.817594056014619	4.840205245197397	4.860889078754977	4.8798697290429995	4.897340765923463	4.913469711730093	4.928401884386957	4.942263642882781"
"2004-09-22	2.026927508238121	2.1163896580063453	2.2040148585674832	2.2896874025931235	2.6114181557630536	2.8983636303055267	3.1513161559863287	3.3727484127106684	3.565832046010124	3.733893909815742	3.880130046771862	4.0074691104659825	4.118520449337277	4.215568439847577	4.300590569875192	4.375286326241348	4.4411096339242375	4.499300954531447	4.550917106892523	4.596857987423351	4.637889983882728	4.674666199396589	4.707743757858758	4.737598520755275	4.764637552638721	4.789209653276393	4.811614243428163	4.832108856349367	4.850915452750718	4.868225745184184	4.884205689526789	4.8989992765930355	4.912731735762077"
"2004-09-23	2.0223005943089825	2.0957893976934887	2.170004932151305	2.244478350189592	2.537945080580207	2.813537760879066	3.0639331347455263	3.287085278137991	3.483706170732568	3.655829142016755	3.806007698603144	3.9368839707157535	4.050969587058712	4.150546506187234	4.237633802155377	4.313989185800234	4.381127472319311	4.4403460712207	4.492752141731138	4.539288676711511	4.580758255214237	4.617844015093309	4.651127824467821	4.681105840101588	4.708201728703078	4.732777849801101	4.755144688236362	4.775568798404814	4.794279491019726	4.811474461469364	4.827324529333847	4.841977632323439	4.855562195066436"
"2004-09-24	2.033869472600546	2.118050323284787	2.200999598754868	2.2825412827155294	2.592179686315781	2.8722001975497324	3.1215350612947312	3.3414244753346356	3.5342311027119004	3.702756263080797	3.8498587747357966	3.9782542881037983	4.090420504329362	4.188563016522918	4.274614561154369	4.350251524025402	4.416918281713114	4.4758540337815385	4.5281192209787084	4.574620065546655	4.616130603721628	4.653312048638371	4.6867295719297	4.7168667144094725	4.744137684896718	4.768897814226303	4.79145241821187	4.812064300091199	4.830960096214766	4.848335641936465	4.8643605096115605	4.879181848087328	4.8929276333162015"
"2004-09-27	2.0322914377813053	2.1117398337649327	2.1906508125861213	2.2687630888210584	2.569382190031007	2.8454097204213	3.093530583683401	3.3136352345334266	3.507295177945652	3.676864336963891	3.824962608745258	3.9541906458180573	4.066982732567494	4.165540621789114	4.251813537205249	4.327503365454901	4.394082568049177	4.45281754979967	4.5047933806106535	4.55093766508976	4.592042476306998	4.628783918561063	4.661739246228968	4.691401656894805	4.718192967562276	4.742474415786164	4.764555828870723	4.784703389246828	4.803146201715407	4.820081843509569	4.835681053832008	4.85009169704304	4.8634421135894"
"2004-09-28	2.0322010996229016	2.1103872520949993	2.1882265371846876	2.265435568811879	2.5637630594411944	2.838954714213347	3.0870897207176293	3.307682754548604	3.5020750617149092	3.672481897939402	3.821441745786745	3.9515093137102295	4.065094657832283	4.164388380656021	4.251336246352592	4.327641042482997	4.39477845727131	4.454019224779835	4.50645312808224	4.553012461277195	4.594493745080282	4.631577184940686	4.664843751711341	4.694789974182155	4.721840634762166	4.7463595996977554	4.768659020890612	4.789007134009696	4.807634856775387	4.824741367511929	4.840498820318843	4.855056331036776	4.8685433482575835"
"2004-09-29	2.0362930367551537	2.1215435048017883	2.205347368637707	2.287571202080788	2.598839559421867	2.879682545732975	3.1296885834279435	3.3503335953271103	3.544022672846034	3.713522460596819	3.8616361401517567	3.991027357885948	4.104134165542783	4.203136127793083	4.289951755567643	4.3662522696243675	4.433483257853633	4.49288926026908	4.545538463038322	4.59234599564138	4.634095114172738	4.671456016285929	4.705002294194682	4.7352251701693	4.762545723396839	4.787325338571302	4.809874604032868	4.830460872162882	4.849314673910491	4.866635156748685	4.882594693236887	4.897342786838994	4.9110093832100254"
"2004-09-30	2.0247964464689923	2.113202280203587	2.1996459307747362	2.2840690932660843	2.600918583474837	2.884229339678645	3.1353002223316415	3.356525639308932	3.550771874011967	3.7210094557425295	3.8701061483631545	4.0007193366490865	4.115248751938302	4.215824800431886	4.304316981305789	4.382352796674048	4.451341327240112	4.512498035024723	4.56686885106448	4.6153525314108075	4.658720826258942	4.697636338318161	4.732668133620703	4.764305265952629	4.792968420060936	4.819019890923608	4.842772110539834	4.8644949184722615	4.8844217529378975	4.902754918651922	4.919670067597555	4.935320010322032	4.949837958643055"
"2004-10-01	2.034256358094159	2.1144422912603105	2.194383743947719	2.2737786151559343	2.581362993614392	2.866019131907097	3.1232489912549557	3.3522260780071855	3.554119985234188	3.7310891626856297	3.8856885013991156	4.0205322891606246	4.1381126033076185	4.240710818366052	4.33036361632816	4.408859786796568	4.4777534286683816	4.5383849696316485	4.591905008035691	4.639298179223996	4.681405577030164	4.718945049938198	4.752529147347941	4.782680744124437	4.809846502002135	4.834408384577078	4.8566934593672295	4.8769822144957	4.895515600184999	4.91250098302973	4.928117177681355	4.942518698149036	4.955839350384809"
"2004-10-04	2.0300367351836357	2.1176113347434473	2.203954133676486	2.2888769250689385	2.6116981359225444	2.903937057259621	3.1641495441806624	3.3933937230800555	3.5939969718734344	3.7688247059197315	3.920859871721116	4.052972778062177	4.167805801683227	4.267725950063691	4.354816227839369	4.430888054493047	4.497504055234251	4.55600494654705	4.607536950288416	4.653077822711794	4.693460574914539	4.729394540248612	4.761483770490764	4.79024291533392	4.816110820969722	4.839462111531732	4.860617015472086	4.879849681773989	4.897395206698429	4.913455565395228	4.928204616862821	4.941792326790999	4.9543483313633505"
"2004-10-05	2.0297695529604236	2.113149602492023	2.195598189535717	2.276910375307283	2.5878109466837937	2.871485861224739	3.1257199455347897	3.3509535947364215	3.5490288461029817	3.7224348242915095	3.8738654238797436	4.005970387728884	4.121224629133308	4.22186853486666	4.3098897409114665	4.387028136704914	4.454792968475087	4.514485380463768	4.567222517843775	4.61396103346408	4.655518886010116	4.692594940704846	4.725786244739074	4.75560304912315	4.782481750161443	4.806795967053147	4.828865981916263	4.848966759977082	4.867334749928721	4.88417364295629	4.89965924675008	4.913943609659157	4.927158510798533"
"2004-10-06	2.036291882921232	2.116999346439523	2.1972740897666068	2.2768374955063844	2.5838297906859387	2.8665488804915635	3.1211119438852553	3.3470665971451474	3.5458081385567732	3.719629404873771	3.871163500082199	4.003068390172464	4.117858629585626	4.217825096347831	4.305006090284359	4.381187289079941	4.447916914812693	4.506527981794272	4.5581629092819345	4.6037978726590385	4.644265529515126	4.680275505611483	4.712432457011683	4.741251762269305	4.767173019637997	4.790571576652739	4.811768332561443	4.831038045867559	4.848616360399256	4.864705740126942	4.879480478961504	4.8930909288830176	4.905667068893151"
"2004-10-07	2.0350853076502937	2.1152810002453597	2.195213413468538	2.274579519328156	2.5818434672255766	2.8658563409142057	3.1221545620110907	3.3499620174046965	3.5505023534202165	3.7259852484001663	3.8790109170603633	4.012231959706423	4.12817174002782	4.229136437210246	4.317181846818858	4.394111038972795	4.461488388777412	4.520661347663455	4.572784941232563	4.618846192849972	4.659687009347485	4.696024857990161	4.728471021175911	4.75754646800544	4.7836955114400705	4.807297476788426	4.82867662278156	4.848110549381832	4.8658373080188255	4.882061406768868	4.896958878838834	4.910681559590125	4.923360696222328"
"2004-10-08	2.0215186043003683	2.088858116243011	2.158140372125783	2.2287483085170563	2.5149652570479613	2.791924616008358	3.0481230530161025	3.278954713750317	3.483628044953582	3.663346481835833	3.8202524975008734	3.95682957225717	4.075576307861187	4.178840187688935	4.268743247570037	4.347159186856035	4.415717992988058	4.475824141899082	4.528680428947541	4.575313048581212	4.616595634697905	4.65327118303244	4.685971457997354	4.715233855105596	4.741515876613866	4.765207460383408	4.786641426536895	4.806102300537967	4.823833750579235	4.840044850521319	4.854915351915912	4.868600122344525	4.881232883537762"
