"IF_3M	IF_6M	IF_9M	IF_1Y	IF_2Y	IF_3Y	IF_4Y	IF_5Y	IF_6Y	IF_7Y	IF_8Y	IF_9Y	IF_10Y	IF_11Y	IF_12Y	IF_13Y	IF_14Y	IF_15Y	IF_16Y	IF_17Y	IF_18Y	IF_19Y	IF_20Y	IF_21Y	IF_22Y	IF_23Y	IF_24Y	IF_25Y	IF_26Y	IF_27Y	IF_28Y	IF_29Y	IF_30Y"
"2004-09-20	2.1080841188387693	2.2840830892453368	2.4550038165164407	2.6202921025828956	3.2189233204114327	3.713927421087038	4.11184462864461	4.425536899435928	4.669258666488161	4.856395434160754	4.998584233327463	5.105517818116454	5.185061420700836	5.243490544312837	5.285755472169401	5.315729638958773	5.336425436366778	5.350173954832106	5.358770984007073	5.363593786860847	5.365693594645226	5.365868420379438	5.364720152404583	5.362699204588584	5.360139369597456	5.357284982752854	5.354312061036999	5.351344725920151	5.3484679365319385	5.345737337665058	5.343186853039772	5.3408345180061385	5.338686939210251"
"2004-09-21	2.114693286230208	2.292730882522634	2.4650853645755295	2.631323580017099	3.2306773291191577	3.7241332895147576	4.120069712610456	4.432048007534919	4.674508721170108	4.860814729024525	5.00251298952952	5.109199225454166	5.188656777087675	5.247099391946134	5.289433940384708	5.319504945304532	5.340306495038745	5.354158744925891	5.362851463449921	5.367759050285651	5.369931823844269	5.370168030184596	5.369070415153324	5.367090546067383	5.364563464665297	5.3617347340595325	5.358781514012382	5.355828953192524	5.352962911897831	5.350239811370101	5.34769423484537	5.345344771233271	5.343198486955687"
"2004-09-22	2.1172618773076106	2.2935205513818073	2.4640120838572197	2.6283461441361586	3.22024990553793	3.707267478551078	4.098109057628124	4.406266149628385	4.64596833411896	4.830344616708804	4.970732809592246	5.076558561075843	5.155474046025223	5.213595192903692	5.255757613633645	5.285754854651094	5.306545107496875	5.3204236409035035	5.329163269227919	5.334127091414225	5.336358113856148	5.336650054727679	5.335603050495362	5.333667359196661	5.331177574225923	5.328379361593492	5.325450318794924	5.322516217718178	5.319663626078491	5.316949689745925	5.314409691135118	5.312062867320102	5.309916868166843"
"2004-09-23	2.095249288565353	2.24366327786937	2.393253441510689	2.542337939090829	3.1106800694163144	3.6045388031017573	4.011225235639368	4.335199518669489	4.587529609560528	4.780783663325762	4.926752668995	5.035599991618623	5.115694427195429	5.173742316951913	5.21502675321958	5.2436632174325455	5.2628329435663606	5.27498094063859	5.281977502853998	5.285246952126623	5.28586887834249	5.284657123477655	5.282221127552801	5.279013462471438	5.275366620054436	5.271521465856773	5.267649235824228	5.2638685293061895	5.2602584219150295	5.256868566825783	5.253726956987165	5.250845869901351	5.24822640048997"
"2004-09-24	2.1185982422496537	2.2852450840844614	2.447815344582386	2.6056920229756115	3.182744567801583	3.666038980349687	4.058665130749675	4.370929619270331	4.615342215848238	4.804169713800721	4.948373408846313	5.0572656817193575	5.138519025451568	5.198330000096195	5.2416354082962116	5.272330224898205	5.293464921093634	5.307414428588356	5.316018169297095	5.320693769177096	5.322528200379762	5.322350206687212	5.320787526878725	5.318311930590543	5.315274563841514	5.311933629721783	5.30847602594533	5.305034227357027	5.301699431665393	5.298531771248228	5.295568223201273	5.292828715155726	5.2903208183926145"
"2004-09-27	2.111909626170863	2.270193976105345	2.426305129195246	2.5793100908160813	3.1478785893842023	3.632295544823147	4.029341395290961	4.346299907250477	4.594420382301143	4.785608153146789	4.930885273861875	5.039792949625318	5.120272127255618	5.1787681627196465	5.220424364339198	5.249295653246263	5.2685499605911374	5.280644324515807	5.287472488644461	5.29048544749147	5.290788269986615	5.289217017336698	5.28639939568787	5.282802339329434	5.278769204906395	5.274548764566115	5.270317753971129	5.266198369522581	5.262271814752595	5.258588760216919	5.255177394589502	5.252049597760576	5.249205651509211"
"2004-09-28	2.1104537467222726	2.2665152516171627	2.4209288694669056	2.57267947704356	3.139383384765765	3.624842945781736	4.024098754800658	4.343545964822567	4.594015055289008	4.787243425379244	4.934212765180705	5.044483688842215	5.126040296163929	5.185376641576949	5.2276818356340655	5.2570504165873535	5.276683038246652	5.28906303668971	5.296104943533291	5.299276027865433	5.299694035249414	5.298204881397052	5.295443933195292	5.291884087247187	5.287873348288552	5.283664117704211	5.279435967791624	5.275313312336275	5.271379086244498	5.267685308379203	5.264261212705167	5.261119484076481	5.258261018348729"
"2004-09-29	2.1222151332848287	2.2906469844183506	2.454448801492012	2.6131551767474606	3.1915343303036927	3.675569106698632	4.069600491960622	4.38394366844406	4.6307573689853925	4.82195231554367	4.968240361962042	5.078801067358877	5.161265578618816	5.221849277465682	5.265541360387201	5.296303593794266	5.317255311912234	5.330835320774474	5.338938508381032	5.343028451722767	5.3442287974389275	5.343396619221727	5.341180855815637	5.338068603038288	5.334421628150586	5.330505073542431	5.3265099543835275	5.32257074393175	5.318779081303606	5.3151944250883805	5.311852305675534	5.308770692765486	5.305954885994637"
"2004-09-30	2.114159404864792	2.288074139645924	2.4559710096536986	2.6176597492391913	3.200914135028386	3.684799784080851	4.078076507415956	4.392727557491521	4.641274772222263	4.835439868251251	4.98556750056531	5.10046373133909	5.187447895081365	5.252502611411412	5.3004582688881765	5.335178511698634	5.3597306079408575	5.37653426289701	5.387487621803825	5.394071788092401	5.3974363011739275	5.398468342255975	5.397848355540489	5.396094505393942	5.39359805824882	5.390651443874128	5.387470444121218	5.384211690005809	5.3809864221152	5.377871282215139	5.3749167509805655	5.37215372287583	5.369598609459068"
"2004-10-01	2.114450978384696	2.27467872741235	2.433527070436458	2.589909763260303	3.1759436540427735	3.6799688327997617	4.095378605498113	4.427890611216623	4.688264924695519	4.888506972097408	5.040023496818014	5.152844191787536	5.235401962539245	5.294587396076447	5.335921931873283	5.3637678894674155	5.381534841850908	5.3918644500210196	5.39678781583733	5.397855357177561	5.396241873246412	5.39283039634454	5.388278487235125	5.383070299531072	5.377557265494409	5.371989767135042	5.366541709790552	5.361329531497311	5.356426863309275	5.351875797889532	5.347695517725982	5.343888871276358	5.340447357019082"
